q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14_u,q14_r,q14_i,q14_rur,q14_m,q14_pnd,q15,q16,q17,q18,q19_a,q19_b,q20,q21
I consent,Male,White,20-29 years,R15 000- R19 999,Once per month (or less),Once per month (or less),12,200,2,High,The Western Cape,Cape Town,true,.,.,.,.,.,,10,4,Yes,51.666668,150,No,No
I consent,Female,White,< 20 years (younger than 20 years),< R1000 (less than R1000),2-3 times per week,2-3 times per month,1,150,10,Medium,The Western Cape,Cape Town,true,.,.,.,.,.,,9,14,Yes,,150,Yes,No
I consent,Male,White,50 years and above,R30 000 and above,Everyday,2-3 times per month,20,200,4,Low,The Western Cape,Cape Town,.,.,.,.,true,.,,6,20,Yes,,124,Yes,No
I consent,Female,Coloured,20-29 years,R5000-R9999,Once per week,2-3 times per month,5,300,2,High,The Western Cape,Cape Town,.,true,.,.,.,.,,8,4,Yes,50,190,Yes,Yes
I consent,Male,White,20-29 years,R15 000- R19 999,Everyday,2-3 times per week,6,225,8,Medium,The Western Cape,many dif places,true,.,.,.,.,.,,10,2,Yes,15,150,No,No
I consent,Female,I would prefer to not answer,20-29 years,R1000- R4999,Once per week,2-3 times per month,3,100,50,Medium,The Western Cape,Cape Town,.,.,.,true,.,.,,10,7,Yes,1,150,No,No
I consent,Male,White,20-29 years,R1000- R4999,2-3 times per week,Once per week,2,200,10,Medium,The Western Cape,Stellenbosch,.,true,.,.,.,.,,10,7,Yes,,150,Yes,No
I consent,Female,White,20-29 years,R1000- R4999,Everyday,Once per month (or less),2,1700,100,Medium,The Western Cape,Cape Town,true,.,.,.,.,.,,6,30,No,,,Yes,Yes
I consent,Male,White,40-49 years,R20 000- R24 999,2-3 times per week,Once per month (or less),20,150,5,Medium,The Western Cape,Cape Town,.,.,.,true,.,.,,9,21,Yes,20,100,No,No
I consent,Male,White,50 years and above,R1000- R4999,Everyday,Once per month (or less),20,100,14,Low,The Western Cape,Oudtshoorn,.,true,.,.,.,.,,5,More than 30 days,Yes,,60,No,No
I consent,Male,White,< 20 years (younger than 20 years),R1000- R4999,Everyday,2-3 times per week,6,100,7,Medium,The Western Cape,Bellville,.,true,.,.,.,.,,8,3,Yes,5,200,Yes,No
I consent,Male,Coloured,20-29 years,R1000- R4999,Everyday,2-3 times per month,2,300,15,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,5,12,No,,,No,No
I consent,Male,White,20-29 years,R20 000- R24 999,Everyday,Once per week,5,400,20,High,The Western Cape,Paarl,.,.,.,.,true,.,,10,9,Yes,15,150,No,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,Once per week,5,400,4,High,The Western Cape,Cape town,.,true,.,.,.,.,,8,5,Yes,45,150,Yes,I do not wish to disclose this information
I consent,Female,I would prefer to not answer,< 20 years (younger than 20 years),< R1000 (less than R1000),2-3 times per week,2-3 times per month,2,100,10,Medium,The Western Cape,Cape Town,.,.,.,.,.,true,,7,14,No,,,No,No
I consent,Female,White,20-29 years,R5000-R9999,Once per week,Once per month (or less),8,200,2,High,The Western Cape,City,true,.,.,.,.,.,,9,5,Yes,80,150,Yes,I do not wish to disclose this information
I consent,Female,White,20-29 years,R1000- R4999,Everyday,Once per week,4,100,10,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,8,6,Yes,5,37.5,No,No
I consent,Male,Coloured,30-39 years,R5000-R9999,Everyday,2-3 times per month,12,700,100,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,4,20,Yes,,180,No,No
I consent,Female,Coloured,20-29 years,R5000-R9999,Once per week,Once per week,5,50,7,Low,The Western Cape,Cape Town,.,.,.,.,.,true,,10,5,Yes,,15,I do not wish to disclose this information,I do not wish to disclose this information
I consent,Female,White,< 20 years (younger than 20 years),< R1000 (less than R1000),Everyday,2-3 times per month,4,150,10,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,6,7,No,,,No,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,Once per month (or less),10,150,20,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,6,22,No,,,Yes,No
I consent,Male,White,< 20 years (younger than 20 years),R5000-R9999,Once per month (or less),Once per month (or less),3,350,7,High,The Western Cape,Stellenbosch,true,.,.,.,.,.,,9,More than 30 days,Yes,12.5,85,No,Yes
I consent,Male,White,20-29 years,R1000- R4999,Everyday,Once per week,7,450,10,Medium,The Western Cape,Stellenbosch,.,.,.,.,true,.,,8,7,Yes,30,160,No,No
I consent,Female,Coloured,30-39 years,R25 000- R29 999,2-3 times per week,Once per week,15,100,5,Medium,The Western Cape,cape town,.,true,.,.,.,.,,9,4,No,,,Yes,No
I consent,Male,I would prefer to not answer,20-29 years,R1000- R4999,Everyday,2-3 times per week,4,100,10,Medium,The Western Cape,Yeah no,.,.,.,.,.,true,,3,3,Yes,,80,No,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,Once per week,5,120,7,Medium,The Western Cape,Cape Town,true,.,.,.,.,.,,7,5,Yes,10,150,Yes,No
I consent,Male,White,30-39 years,R30 000 and above,2-3 times per week,Once per month (or less),15,1500,10,High,The Western Cape,Durbanville,true,.,.,.,.,.,,10,30,No,,,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,Once per week,6,300,5,High,The Western Cape,Stellenbosch,.,true,.,.,.,.,,8,5,Yes,32.5,175,No,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,2-3 times per week,4,1500,10,High,The Western Cape,Cape town,.,true,.,.,.,.,,10,4,Yes,100,225,No,No
I consent,Male,White,20-29 years,R5000-R9999,Once per week,Once per week,5,150,1,High,The Western Cape,Cape Town,.,true,.,.,.,.,,5,4,Yes,14.285714,170,No,Yes
I consent,Female,White,20-29 years,R1000- R4999,2-3 times per week,2-3 times per month,5,450,3,High,The Western Cape,Cape Town,.,true,.,.,.,.,,2,10,Yes,70,200,No,No
I consent,Male,African,20-29 years,R1000- R4999,Everyday,I do not wish to disclose this information,8,1000,10,High,The Western Cape,cape town,.,.,.,.,true,.,,10,30,No,,,No,Yes
I consent,Male,White,20-29 years,R5000-R9999,2-3 times per month,Once per month (or less),2,200,6,Medium,The Western Cape,Stellenbosch,.,.,.,.,true,.,,7,30,Yes,10,120,Yes,Yes
I consent,Female,White,20-29 years,R1000- R4999,Everyday,2-3 times per week,5,250,10,Medium,The Western Cape,Cape Town,true,.,.,.,.,.,,1,3,Yes,11.25,75,No,No
I consent,Male,White,20-29 years,R5000-R9999,2-3 times per week,2-3 times per month,6,400,5,Medium,The Western Cape,George,.,true,.,.,.,.,,10,6,Yes,40,135,No,No
I consent,Male,White,40-49 years,R15 000- R19 999,Everyday,2-3 times per month,19,900,20,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,10,15,No,,,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,Once per month (or less),8,375,25,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,8,30,Yes,10,143.33333,No,Yes
I consent,Male,Coloured,20-29 years,R1000- R4999,Once per week,2-3 times per month,5,100,7,Medium,The Western Cape,cape town,.,true,.,.,.,.,,2,7,No,,,No,Yes
I consent,Male,Coloured,30-39 years,R5000-R9999,Everyday,Once per week,10,100,12,Low,The Western Cape,Cape Town,.,true,.,.,.,.,,9,7,No,,,Yes,No
I consent,Female,White,30-39 years,R15 000- R19 999,Everyday,2-3 times per month,15,450,30,Medium,The Western Cape,Cape Town,.,.,.,.,.,true,,3,20,Yes,10,92,Yes,No
I consent,Male,Coloured,20-29 years,R1000- R4999,Everyday,2-3 times per month,7,100,8,Medium,The Western Cape,Cape Town,.,.,.,.,true,.,,8,10,Yes,10,150,No,No
I consent,Male,White,30-39 years,R5000-R9999,Once per month (or less),Once per month (or less),15,60,5,Medium,The Western Cape,Cape Town,true,.,.,.,.,.,,4,More than 30 days,No,,,No,No
I consent,Male,White,30-39 years,R20 000- R24 999,Once per week,Once per month (or less),8,150,5,Medium,The Western Cape,Cape Town,true,.,.,.,.,.,,6,More than 30 days,No,,,No,No
I consent,Male,White,30-39 years,R30 000 and above,Everyday,2-3 times per month,5,500,35,Medium,The Western Cape,Sunningdale,.,true,.,.,.,.,,10,16,No,,,Yes,No
I consent,Male,African,30-39 years,R30 000 and above,2-3 times per week,2-3 times per month,13,200,10,High,The Western Cape,Cape Town,true,.,.,.,.,.,,7,30,No,,100,Yes,Yes
I consent,Female,White,20-29 years,R5000-R9999,2-3 times per week,Once per month (or less),10,400,28,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,5,28,Yes,8,25,Yes,No
I consent,Male,Coloured,20-29 years,R10 000- R14 999,Everyday,2-3 times per month,9,1450,20,High,The Western Cape,Cape Town,.,true,.,.,.,.,,8,30,Yes,10,100,Yes,Yes
I consent,Female,Coloured,20-29 years,R1000- R4999,2-3 times per month,Once per month (or less),6,100,1,High,The Western Cape,Stellenbosch,.,true,.,.,.,.,,10,2,No,,,No,Yes
I consent,Male,Coloured,< 20 years (younger than 20 years),< R1000 (less than R1000),Everyday,Everyday,6,40,1.3,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,6,1,Yes,15.869565,65,No,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,Once per week,7,200,17.5,Medium,The Western Cape,Cape town,.,true,.,.,.,.,,2,4,Yes,10,75,Yes,No
I consent,Male,Coloured,30-39 years,R5000-R9999,Everyday,2-3 times per week,15,225,12.5,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,5,5,Yes,12,65,No,No
I consent,Male,White,< 20 years (younger than 20 years),R1000- R4999,2-3 times per month,Once per month (or less),2,100,6,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,7,21,No,,,No,Yes
I consent,Male,White,20-29 years,< R1000 (less than R1000),Once per month (or less),Once per month (or less),5,180,2,Medium,The Western Cape,Cape Town,true,.,.,.,.,.,,3,15,No,,,No,No
I consent,Male,White,20-29 years,R25 000- R29 999,Everyday,2-3 times per month,8,1700,30,High,The Western Cape,Cape town,.,true,.,.,.,.,,8,30,Yes,40,80,No,Yes
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,Everyday,7,6000,1000,Medium,The Western Cape,Cape town,.,true,.,.,.,.,,8,30,Yes,,170,No,No
I consent,Male,White,20-29 years,R30 000 and above,Once per month (or less),Once per month (or less),9,200,20,Medium,The Western Cape,Cape town,true,.,.,.,.,.,,3,5,Yes,,100,Yes,Yes
I consent,Female,White,20-29 years,R5000-R9999,2-3 times per week,2-3 times per month,8,100,3,Medium,The Western Cape,Bellville,.,.,true,.,.,.,,9,30,Yes,,300,No,Yes
I consent,Male,White,20-29 years,R30 000 and above,2-3 times per week,2-3 times per month,5,800,5,High,The Western Cape,Stellenbosch,true,.,.,.,.,.,,8,15,Yes,30,250,No,No
I consent,Male,White,20-29 years,R1000- R4999,Once per week,I do not wish to disclose this information,3,150,10,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,7,29,Yes,,50,No,No
I consent,Male,White,20-29 years,R1000- R4999,2-3 times per week,Once per week,5,225,13,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,8,3,No,,,No,No
I consent,I would prefer not to answer,White,< 20 years (younger than 20 years),R1000- R4999,Everyday,2-3 times per week,3,150,10,Medium,The Western Cape,Cape Town,true,.,.,.,.,.,,10,5,Yes,8,87.5,Yes,Yes
I consent,Male,Other,20-29 years,R1000- R4999,Everyday,2-3 times per week,2,150,4.1999998,Medium,The Western Cape,Cape Town,.,.,.,.,true,.,,9,6,No,,,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,2-3 times per week,2-3 times per month,3,150,8,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,8,14,Yes,12.555555,150,I do not wish to disclose this information,I do not wish to disclose this information
I consent,Male,White,20-29 years,R1000- R4999,Everyday,2-3 times per week,5,150,1,High,The Western Cape,Cape Town,true,.,.,.,.,.,,8,5,Yes,15,170,No,No
I consent,Male,White,20-29 years,R30 000 and above,Everyday,Once per week,11,150,1,High,The Western Cape,cape town,.,true,.,.,.,.,,10,7,Yes,60,250,Yes,Yes
I consent,Male,White,20-29 years,R1000- R4999,2-3 times per week,2-3 times per month,8,300,10,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,8,14,Yes,14.285714,40,No,No
I consent,Male,White,20-29 years,R1000- R4999,Once per month (or less),Once per month (or less),5,100,4,Low,The Western Cape,Stellenbosch,.,true,.,.,.,.,,8,10,Yes,,102.5,No,Yes
I consent,Female,I would prefer to not answer,20-29 years,R1000- R4999,Everyday,Once per week,3,100,10,Medium,The Western Cape,Wellington,.,.,.,.,true,.,,10,6,Yes,,,Yes,No
I consent,Male,White,40-49 years,R30 000 and above,Everyday,Once per month (or less),20,2000,20,High,The Western Cape,None of yr business,true,.,.,.,.,.,,10,More than 30 days,Yes,50,150,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,Once per week,3,170,1,High,The Western Cape,Stellenbosch,.,true,.,.,.,.,,8,7,Yes,35,200,No,Yes
I consent,Male,White,< 20 years (younger than 20 years),R1000- R4999,Everyday,2-3 times per week,2,300,3,High,The Western Cape,George,.,true,.,.,.,.,,7,3,Yes,42.5,150,No,Yes
I consent,Female,Other,< 20 years (younger than 20 years),R1000- R4999,Everyday,2-3 times per month,1,100,8,Medium,The Western Cape,Cape Town,true,.,.,.,.,.,,8,10,No,,,No,No
I consent,Female,White,30-39 years,R25 000- R29 999,2-3 times per month,2-3 times per month,6,600,4,High,The Western Cape,Stellenbosh,.,true,.,.,.,.,,4,30,Yes,76.666664,212.5,Yes,No
I consent,Female,White,20-29 years,R10 000- R14 999,Everyday,2-3 times per month,8,150,10,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,9,7,Yes,,150,No,No
I consent,Male,White,20-29 years,< R1000 (less than R1000),2-3 times per week,Once per month (or less),15,100,10,Medium,The Western Cape,Cape Town,true,.,.,.,.,.,,9,More than 30 days,Yes,,150,No,No
I consent,Female,Coloured,30-39 years,R15 000- R19 999,Everyday,Once per week,12,450,3,High,The Western Cape,Cape Town,true,.,.,.,.,.,,9,5,No,,,Yes,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,Once per week,7,1250,10,High,The Western Cape,Cape Town,true,.,.,.,.,.,,9,15,Yes,90,150,Yes,No
I consent,I would prefer not to answer,White,< 20 years (younger than 20 years),< R1000 (less than R1000),Everyday,Once per month (or less),2,100,10,Medium,The Western Cape,Cape Town,true,.,.,.,.,.,,6,25,No,,,Yes,No
I consent,Male,White,20-29 years,R25 000- R29 999,Once per month (or less),I do not wish to disclose this information,5,300,10,Medium,The Western Cape,.,true,.,.,.,.,.,,6,2,Yes,10,,No,.
I consent,Male,Coloured,20-29 years,R5000-R9999,2-3 times per month,2-3 times per month,15,300,2,High,The Western Cape,cape town,.,true,.,.,.,.,,10,30,Yes,100,200,Yes,No
I consent,Male,White,20-29 years,R10 000- R14 999,2-3 times per week,Once per month (or less),8,300,2,High,The Western Cape,Cape Town,.,true,.,.,.,.,,7,17,Yes,25,200,No,Yes
I consent,Male,African,20-29 years,< R1000 (less than R1000),Everyday,2-3 times per month,5,1000,50,Medium,The Western Cape,Bellville,true,.,.,.,.,.,,1,20,Yes,12.5,120,Yes,Yes
I consent,Male,Coloured,20-29 years,R5000-R9999,Everyday,2-3 times per week,8,600,60,Medium,The Western Cape,Mossel Bay,.,.,.,.,.,true,,8,10,Yes,,100,I do not wish to disclose this information,No
I consent,Male,White,20-29 years,R15 000- R19 999,Everyday,Once per week,7,540,3,High,The Western Cape,Cape Town,.,.,.,.,.,true,,10,5,Yes,25,200,Yes,No
I consent,Female,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,6,500,50,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,6,14,Yes,6,93.333336,No,No
I consent,Male,White,< 20 years (younger than 20 years),R1000- R4999,Everyday,Once per week,3,150,1,High,The Western Cape,Cape Town,true,.,.,.,.,.,,1,4,No,,,I do not wish to disclose this information,No
I consent,Female,White,20-29 years,R5000-R9999,Everyday,Once per month (or less),4,100,10,Low,The Western Cape,Cape town,.,true,.,.,.,.,,5,15,Yes,7,150,No,No
I consent,Male,African,20-29 years,R1000- R4999,Everyday,Everyday,6,500,50,Medium,The Western Cape,Cape Town,.,.,.,.,.,true,,8,20,No,,,I do not wish to disclose this information,I do not wish to disclose this information
I consent,Male,White,< 20 years (younger than 20 years),< R1000 (less than R1000),2-3 times per week,2-3 times per month,1,100,10,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,7,14,No,,,Yes,No
I consent,Female,White,20-29 years,R15 000- R19 999,Everyday,2-3 times per month,5,600,16,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,9,16,Yes,20,150,.,No
I consent,Female,Coloured,20-29 years,< R1000 (less than R1000),Everyday,2-3 times per week,2,30,2,Medium,The Western Cape,Belville,.,true,.,.,.,.,,10,2,No,,,No,No
I consent,Female,Other,< 20 years (younger than 20 years),R5000-R9999,Everyday,Once per week,3,125,10,Medium,The Western Cape,Cape Town,true,.,.,.,.,.,,10,6,Yes,7,113.33334,No,No
I consent,Male,White,20-29 years,R1000- R4999,Once per month (or less),Once per month (or less),6,150,5,High,The Western Cape,Cape Town,.,true,.,.,.,.,,7,3,No,,,Yes,No
I consent,Female,White,20-29 years,R10 000- R14 999,2-3 times per week,.,1,130,1,High,The Western Cape,Cape Town,true,.,.,.,.,.,,8,14,Yes,80,165,No,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,I do not wish to disclose this information,8,450,20,High,The Western Cape,Cape town,.,.,.,.,true,.,,3,20,Yes,12.5,56.666668,I do not wish to disclose this information,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,7,600,60,Medium,The Western Cape,Bellville,.,true,.,.,.,.,,8,21,Yes,,150,Yes,No
I consent,Male,.,30-39 years,R20 000- R24 999,Everyday,.,7,600,4,High,The Western Cape,Cape town,.,.,.,.,.,true,,8,21,Yes,85,180,I do not wish to disclose this information,I do not wish to disclose this information
I consent,Female,White,20-29 years,R1000- R4999,2-3 times per month,Once per month (or less),1,50,3,Medium,The Western Cape,Paarl,.,.,true,.,.,.,,8,2,No,,,No,Yes
I consent,Female,Coloured,30-39 years,R5000-R9999,Everyday,Once per week,2,600,4,High,The Western Cape,Cape Town,.,.,.,.,.,true,,5,5,Yes,53.333332,170,Yes,I do not wish to disclose this information
I consent,Female,White,20-29 years,R1000- R4999,2-3 times per week,2-3 times per month,4,160,7.5,Medium,The Western Cape,Cape Town,true,.,.,.,.,.,,8,3,Yes,13.5,93.5,No,Yes
I consent,Female,White,30-39 years,R10 000- R14 999,Everyday,Everyday,10,100,2,Medium,The Western Cape,Cape Town,true,.,.,.,.,.,,10,2,Yes,5,70,No,No
I consent,Female,White,30-39 years,R20 000- R24 999,Everyday,2-3 times per month,2,1600,10,High,The Western Cape,Cape Town,true,.,.,.,.,.,,9,18,Yes,100,200,No,No
I consent,Male,African,20-29 years,< R1000 (less than R1000),Everyday,2-3 times per week,5,150,2,High,The Western Cape,Cape Town,.,.,.,.,true,.,,2,7,Yes,50,100,No,I do not wish to disclose this information
I consent,Female,White,20-29 years,R1000- R4999,Everyday,Once per month (or less),10,100,9,Medium,The Western Cape,Muizenberg,.,true,.,.,.,.,,2,More than 30 days,Yes,6,25,Yes,No
I consent,Female,Other,20-29 years,R1000- R4999,Once per week,Once per month (or less),7,200,4,High,The Western Cape,Cape Town,.,true,.,.,.,.,,7,10,Yes,18.5,150,Yes,No
I consent,Male,Coloured,30-39 years,R25 000- R29 999,Everyday,Once per week,12,200,10,High,The Western Cape,Paarl,.,true,.,.,.,.,,10,7,No,,,No,No
I consent,Female,Coloured,20-29 years,R10 000- R14 999,2-3 times per week,2-3 times per month,9,300,30,High,The Western Cape,Cape Town,.,.,.,.,true,.,,4,15,Yes,,160,No,Yes
I consent,Male,White,20-29 years,R5000-R9999,2-3 times per month,Once per month (or less),6,100,2,Medium,The Western Cape,Plettenberg Bay,.,true,.,.,.,.,,8,10,Yes,23,100,No,No
I consent,Male,Coloured,30-39 years,< R1000 (less than R1000),Everyday,Once per month (or less),17,1000,50,High,The Western Cape,Cape Town,true,.,.,.,.,.,,10,More than 30 days,Yes,6.25,50,No,No
I consent,Female,White,20-29 years,R5000-R9999,Everyday,Once per week,4,200,20,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,8,10,Yes,,150,Yes,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,Once per week,5,50,5,Medium,The Western Cape,Hermanus,.,true,.,.,.,.,,7,7,Yes,5,125,Yes,Yes
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,2-3 times per week,5,150,5,Medium,The Western Cape,Southern Suburbs,.,.,.,.,true,.,,5,3,Yes,15,150,Yes,.
I consent,Male,White,20-29 years,R5000-R9999,2-3 times per week,Once per week,1,120,10,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,5,10,No,,,Yes,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,Once per week,2,300,30,High,The Western Cape,Cape Town,.,true,.,.,.,.,,1,20,Yes,,150,Yes,No
I consent,Male,I would prefer to not answer,30-39 years,R15 000- R19 999,2-3 times per week,Once per month (or less),15,200,14,Medium,The Western Cape,Cape Town,true,.,.,.,.,.,,10,30,Yes,10,200,No,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,Once per week,4,10000,10000,High,The Western Cape,Table View,.,.,.,.,true,.,,5,More than 30 days,Yes,,53.333332,Yes,Yes
I consent,Female,White,20-29 years,R1000- R4999,2-3 times per week,Once per month (or less),7,300,3,High,The Western Cape,Cape Town,.,true,.,.,.,.,,9,30,Yes,50,160,No,No
I consent,Female,White,20-29 years,R10 000- R14 999,Everyday,.,5,450,3,High,The Western Cape,Cape town,.,true,.,.,.,.,,9,3,Yes,57.5,200,No,No
I consent,Male,White,< 20 years (younger than 20 years),R1000- R4999,Once per week,Once per month (or less),4,200,8,Medium,The Western Cape,Southern suburbs,.,true,.,.,.,.,,8,More than 30 days,No,,,No,Yes
I consent,Male,White,20-29 years,R1000- R4999,2-3 times per week,Once per month (or less),4,150,8,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,8,5,Yes,10,150,No,Yes
I consent,Male,White,20-29 years,R1000- R4999,Everyday,2-3 times per month,8,150,10,Medium,The Western Cape,Cape Town,true,.,.,.,.,.,,10,8,Yes,8,150,No,No
I consent,Female,Other,20-29 years,R1000- R4999,Everyday,2-3 times per week,14,200,1,High,The Western Cape,.,.,.,.,.,.,true,,10,7,Yes,101,275,Yes,No
I consent,Female,White,20-29 years,R10 000- R14 999,2-3 times per week,Once per week,7,450,3,High,The Western Cape,Cape Town,.,true,.,.,.,.,,3,7,No,,,No,No
I consent,Male,.,< 20 years (younger than 20 years),R1000- R4999,2-3 times per week,Once per week,1,100,10,Low,The Western Cape,Cape Town,true,.,.,.,.,.,,5,2,Yes,,30,No,No
I consent,Male,White,20-29 years,R20 000- R24 999,Everyday,Once per week,2,100,7,Medium,The Western Cape,Cape Town,true,.,.,.,.,.,,9,3,Yes,,50,Yes,No
I consent,Female,White,40-49 years,R15 000- R19 999,Everyday,Once per month (or less),10,550,50,High,The Western Cape,Cape Town,.,true,.,.,.,.,,10,30,Yes,5,120,Yes,No
I consent,Male,White,20-29 years,R10 000- R14 999,2-3 times per week,Once per week,9,300,3,High,The Western Cape,Newlands,.,true,.,.,.,.,,8,3,Yes,40,140,Yes,I do not wish to disclose this information
I consent,Female,White,< 20 years (younger than 20 years),R1000- R4999,2-3 times per week,2-3 times per month,3,100,10,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,2,7,No,,,No,No
I consent,Female,White,20-29 years,R5000-R9999,Everyday,Once per month (or less),5,2000,250,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,9,More than 30 days,No,,,Yes,No
I consent,Female,White,20-29 years,R1000- R4999,2-3 times per month,Once per month (or less),3,120,1,High,The Western Cape,Stellenbosch,.,true,.,.,.,.,,7,20,Yes,60,150,Yes,No
I consent,Female,Coloured,20-29 years,< R1000 (less than R1000),2-3 times per week,Once per week,9,400,2,High,The Western Cape,Brackenfell,.,true,.,.,.,.,,4,3,Yes,99.25,250,No,No
I consent,Male,Coloured,20-29 years,R1000- R4999,Everyday,2-3 times per month,3,100,10,Medium,The Western Cape,Cape Town,true,.,.,.,.,.,,10,12,No,6.5,50,Yes,No
I consent,Male,White,40-49 years,< R1000 (less than R1000),Everyday,Once per month (or less),20,500,50,Medium,The Western Cape,Cape Town,.,.,.,.,true,.,,1,More than 30 days,,,,Yes,No
I consent,Male,I would prefer to not answer,20-29 years,R5000-R9999,2-3 times per week,Once per week,9,150,8,Medium,The Western Cape,Cape town,.,true,.,.,.,.,,10,2,Yes,,150,No,No
I consent,Female,Coloured,20-29 years,R1000- R4999,Once per week,2-3 times per month,7,120,5,High,The Western Cape,Cape Town,.,true,.,.,.,.,,10,7,Yes,20,53.75,Yes,No
I consent,Female,White,30-39 years,R15 000- R19 999,Everyday,2-3 times per month,7,600,6,High,The Western Cape,Cape Town,true,.,.,.,.,.,,9,21,Yes,65,150,Yes,Yes
I consent,Male,White,20-29 years,R1000- R4999,2-3 times per week,Once per month (or less),2,100,5,Medium,The Western Cape,George,.,.,.,.,.,true,,7,25,No,,,I do not wish to disclose this information,No
I consent,Male,White,30-39 years,R10 000- R14 999,Everyday,2-3 times per month,16,3000,25,High,The Western Cape,Durbanville,.,true,.,.,.,.,,8,30,Yes,28.333334,275,No,No
I consent,Male,Coloured,20-29 years,R20 000- R24 999,Everyday,2-3 times per week,13,300,2,High,The Western Cape,Cape Town,true,.,.,.,.,.,,1,2,Yes,10,220,Yes,Yes
I consent,Male,White,< 20 years (younger than 20 years),R1000- R4999,Everyday,Once per week,4,150,6,Medium,The Western Cape,Cape town,true,.,.,.,.,.,,5,3,Yes,15,150,Yes,Yes
I consent,Male,White,20-29 years,R15 000- R19 999,Once per month (or less),Once per month (or less),10,100,50,Medium,The Western Cape,Saldanha,.,true,.,.,.,.,,7,More than 30 days,No,,,Yes,I do not wish to disclose this information
I consent,Male,Coloured,20-29 years,< R1000 (less than R1000),Everyday,2-3 times per week,6,300,3,High,The Western Cape,George,.,.,.,.,.,true,,10,5,Yes,70,165,Yes,No
I consent,Female,White,20-29 years,< R1000 (less than R1000),Everyday,Once per month (or less),10,400,30,Medium,The Western Cape,Cape Town,.,.,.,.,true,.,,5,25,No,,,Yes,No
I consent,Male,White,20-29 years,R15 000- R19 999,Everyday,Once per week,10,200,10,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,8,9,No,,,No,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,10,200,10,Medium,The Western Cape,Somerset West,.,.,.,true,.,.,,7,7,No,,,Yes,No
I consent,Male,Coloured,20-29 years,R10 000- R14 999,2-3 times per week,2-3 times per month,10,250,35,Medium,The Western Cape,Cape Town,.,true,.,.,.,.,,9,30,No,,,No,No
I consent,Male,White,50 years and above,R30 000 and above,Everyday,Once per month (or less),1,1250,12,High,The Western Cape,hermanus,true,.,.,.,.,.,,5,More than 30 days,No,,,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,6,1000,10,High,The Western Cape,Cape Town,.,true,.,.,.,.,,8,14,Yes,10,120,No,Yes
I consent,Male,White,30-39 years,R15 000- R19 999,Once per month (or less),Once per month (or less),10,60,1,High,The Western Cape,Knysna,.,.,.,.,true,.,,2,30,No,,,Yes,No
I consent,Male,Coloured,20-29 years,R10 000- R14 999,2-3 times per week,Once per week,5,30,2,Medium,The Western Cape,Cape Town,.,.,.,.,.,true,,5,3,No,,,Yes,No
